mode,scenario,hazard_map,draw,shapeGroup,dam_cost_ppp2024,dam_area_m2
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,11,USA,3448746240.471107,869842.7158658133
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,11,RUS,32927093788.954853,23817405.116839983
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,12,CAN,645461794.735213,87171.50050149698
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,12,USA,3456927337.516176,871906.1520180397
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,12,RUS,30642413793.247692,22111682.271553785
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,13,CAN,142220463.6783186,19259.324422407397
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,13,USA,3399264790.470684,857362.505420563
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,13,RUS,45702980384.63991,33993399.94084917
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,14,CAN,645461794.735213,87171.50050149698
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,14,USA,3399264790.470684,857362.505420563
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,14,RUS,86195515979.27292,60945403.3712119
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,15,CAN,25272202.851181146,3490.4663840321496
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,15,USA,2255879785.8983316,568977.9597598201
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,15,RUS,31164450115.60044,22469177.17737553
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,16,CAN,20846943.549180407,2893.7812753977087
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,16,USA,2023845739.056545,510454.3365631699
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,16,RUS,72567419529.66098,52184599.933170415
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,17,CAN,645461794.735213,87171.50050149698
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,17,USA,2143962414.0724277,540750.1622143822
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,17,RUS,81475548690.87988,57736548.33774207
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,18,CAN,905800565.688286,122302.56228645747
B1_OSM_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,18,USA,2231985464.736911,562951.3344984665
