mode,scenario,hazard_map,draw,shapeGroup,dam_cost_ppp2024,dam_area_m2
B4_ADD_FLOORAREA,SSP585,bc_diff_ssp585_CESM2-WACCM_2055_2064-2015_2024.nc,250,CAN,8303771168.196794,1182590.756254187
B4_ADD_FLOORAREA,SSP585,bc_diff_ssp585_CESM2-WACCM_2055_2064-2015_2024.nc,250,USA,41795596698.790726,10144600.516516658
B4_ADD_FLOORAREA,SSP585,bc_diff_ssp585_CESM2-WACCM_2055_2064-2015_2024.nc,251,RUS,181470475614.79175,121425823.65230288
B4_ADD_FLOORAREA,SSP585,bc_diff_ssp585_CESM2-WACCM_2055_2064-2015_2024.nc,251,CAN,8159003182.746659,1161902.9157841231
B4_ADD_FLOORAREA,SSP585,bc_diff_ssp585_CESM2-WACCM_2055_2064-2015_2024.nc,251,USA,41597564493.579346,10094854.674888661
B4_ADD_FLOORAREA,SSP585,bc_diff_ssp585_CESM2-WACCM_2055_2064-2015_2024.nc,252,RUS,180145293717.79532,120599331.79185161
B4_ADD_FLOORAREA,SSP585,bc_diff_ssp585_CESM2-WACCM_2055_2064-2015_2024.nc,252,CAN,12507673485.8306,1808882.7678188933
B4_ADD_FLOORAREA,SSP585,bc_diff_ssp585_CESM2-WACCM_2055_2064-2015_2024.nc,252,USA,41884815935.71798,10165963.456922757
B4_ADD_FLOORAREA,SSP585,bc_diff_ssp585_CESM2-WACCM_2055_2064-2015_2024.nc,253,RUS,181471796203.43716,121426701.1553371
B4_ADD_FLOORAREA,SSP585,bc_diff_ssp585_CESM2-WACCM_2055_2064-2015_2024.nc,253,CAN,12507673485.8306,1808882.7678188933
B4_ADD_FLOORAREA,SSP585,bc_diff_ssp585_CESM2-WACCM_2055_2064-2015_2024.nc,253,USA,41879481150.54914,10164859.291095613
B4_ADD_FLOORAREA,SSP585,bc_diff_ssp585_CESM2-WACCM_2055_2064-2015_2024.nc,254,RUS,139673039789.43546,96708806.60294923
