mode,scenario,hazard_map,draw,shapeGroup,dam_cost_usd2024,dam_cost_res_usd2024,dam_cost_nonres_usd2024,dam_area_m2,dam_area_res_m2,dam_area_nonres_m2
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,9,CAN,1378993916.321542,1040671422.4123622,338322493.90918094,177909.57139016758,125410.35508849577,52499.21630167172
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,9,USA,7424612935.006142,5991847156.8488865,1432765778.1572714,1969691.2623614531,1697607.990924576,272083.27143687516
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,10,RUS,64080366918.90896,39573083037.7416,24507283881.1663,45122455.080318466,29921163.0650194,15201292.015298778
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,10,CAN,1010577562.3692135,783436066.01686,227141496.35235348,129670.89342192751,94362.82958308647,35308.06383884098
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,10,USA,7070343098.8426895,5743210264.718029,1327132834.1246743,1879187.7736176823,1627164.2756776744,252023.4979400083
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,11,RUS,60159991970.025276,37362536747.6082,22797455222.417786,41206956.75508486,27476483.606278654,13730473.14880594
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,11,CAN,751226135.2507478,568914420.0548363,182311715.19591236,96864.7786001957,68574.2953424092,28290.483257786324
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,11,USA,8397008608.189458,6175939158.339217,2221069449.850219,2171547.5873564277,1749764.8708673704,421782.7164890692
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,12,RUS,106581863991.99492,60331684204.45589,46250179787.53725,72397478.76495078,44343413.0452066,28054065.719744556
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,12,CAN,2076992843.0544517,1575884085.5767395,501108757.47770953,267719.398078428,189835.91210897957,77883.48596944817
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,12,USA,11854943355.220192,8130535992.904973,3724407362.31522,3010808.234094489,2303540.5461367145,707267.6879577709
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,13,RUS,209501405934.86984,139139560344.0774,70361845590.79565,141888836.63174227,101326560.14000839,40562276.491731614
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,13,CAN,1015243441.1506915,808538282.7172053,206705158.4334859,129522.78498473478,97447.29778350833,32075.487201226344
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,13,USA,6477680519.13509,5194263703.300145,1283416815.8349645,1715358.726487483,1471636.93246293,243721.79402455274
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,14,RUS,267647122783.70685,172635354342.53043,95011768441.18005,180087839.82933313,125148303.29265286,54939536.53667861
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,14,CAN,1409798600.312598,1065766054.057992,344032546.2546086,181854.59291866873,128469.31885089117,53385.27406777754
